"Whisky","MetaCritic","STDEV","Reviews","Cost","Class","SuperCluster","Cluster","Country","Type"
"Compass Box Last Vatted Malt","9.11","0.13","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.11","0.48","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 37)","9.10","0.08","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 49)","9.10","0.19","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Manzanilla Cask","9.10","0.25","7","$$$$$+","SingleMalt-like","ABC","C","Taiwan","Malt"
"Redbreast 21yo","9.10","0.30","17","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour A'Bunadh (Batch 40)","9.09","0.13","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist PX Cask","9.09","0.59","7","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Aberlour A'Bunadh (Batch 52)","9.08","0.27","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 16yo Odin","9.08","0.25","7","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Sheep Dip Old Hebridean 1990 Blended Malt","9.08","0.18","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Yamazaki Sherry Cask (all vintages)","9.08","0.28","11","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Bowmore Springtide","9.07","0.77","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bruichladdich 21yo Cuv??e 407 PX","9.07","0.21","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 1)","9.06","0.27","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Sherry Cask","9.06","0.32","18","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Aberlour A'Bunadh (Batch 53)","9.04","0.11","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 18yo Albariza Pedro Ximenez Peated","9.04","0.20","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 18yo","9.04","0.26","26","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 39)","9.03","0.21","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 2)","9.03","0.12","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kilchoman Port Cask Matured","9.03","0.20","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo Cask Strength (100 proof)","9.02","0.18","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 15yo Loki","9.02","0.23","16","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Karuizawa 1990 Sherry Butt","9.02","0.28","4","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"GlenDronach vintage 20yo Single Cask (all vintages)","9.01","0.34","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 35)","9.00","0.23","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt 21st Anniversary Edition","9.00","0.18","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Vinho Barrique","9.00","0.34","15","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Aberlour A'Bunadh (Batch 36)","8.99","0.49","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bladnoch 12yo Sherry Cask (Sheep label)","8.99","0.26","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Fino Sherry Cask","8.99","0.31","12","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Springbank 21yo","8.99","0.24","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 45)","8.98","0.23","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 58)","8.98","0.23","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bunnahabhain 18yo","8.98","0.20","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Signet","8.98","0.39","20","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Taketsuru 21yo","8.98","0.27","18","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Amrut Portonova","8.97","0.30","19","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Amrut PX Sherry Single Cask 2696 (LCBO)","8.97","0.28","6","$$$$$","SingleMalt-like","ABC","B","India","Malt"
"BenRiach 17yo Solstice Peated Port (both editions)","8.97","0.27","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Hakushu Sherry Cask","8.97","0.44","7","$$$$$+","SingleMalt-like","ABC","B","Japan","Malt"
"Aberlour A'Bunadh (Batch 30)","8.96","0.17","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 47)","8.96","0.31","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach vintage 19yo Single Cask (all vintages)","8.96","0.35","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Alpha","8.96","0.11","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 54)","8.95","0.16","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Tomatin 40yo","8.95","0.39","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (all batches)","8.94","0.15","25","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1509 (all 3 batches)","8.94","0.17","13","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"BenRiach 17yo Solstice 2nd Peated Port Finish","8.94","0.40","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 35yo","8.94","0.59","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 3)","8.94","0.37","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan Cask Strength","8.94","0.36","16","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 4)","8.93","0.26","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 17yo Solstice 1st Peated Port Finish","8.92","0.19","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 6)","8.92","0.08","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 40yo","8.92","0.82","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Intermediate Sherry","8.91","0.46","21","$$$$","SingleMalt-like","ABC","B","India","Malt"
"GlenDronach Cask Strength (all batches)","8.91","0.19","19","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet XXV 25yo","8.91","0.18","11","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 46)","8.90","0.08","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore 15yo Laimrig","8.90","0.29","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Box PX - Pedro Xim??nez Finish","8.90","0.17","6","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Highland Park 16yo Thor","8.90","0.31","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 21yo","8.90","0.40","16","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut PX Sherry Single Cask 3516 (SAQ)","8.89","0.19","6","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Laphroaig Cairdeas 2013 Port Wood","8.89","0.46","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 18yo Sherry Oak","8.89","0.32","19","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 15yo Revival","8.88","0.28","22","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 21yo","8.88","0.18","17","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kilchoman PX Sherry Finish","8.88","0.19","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 10yo Sherry Oak Cask Strength","8.88","0.53","6","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 34)","8.87","0.29","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kilchoman Loch Gorm","8.87","0.26","21","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Scallywag 13yo","8.87","0.05","4","$$$$","SingleMalt-like","ABC","B","Switzerland","Malt"
"Springbank 12yo Cask Strength","8.87","0.24","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"White Oak Akashi 14yo","8.87","0.47","3","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"AnCnoc 1975","8.86","0.55","4","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenlivet Nadurra 16yo","8.86","0.20","23","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Kadhambam","8.85","0.28","15","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Bunnahabhain 25yo","8.85","0.30","16","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"GlenDronach 12yo Sauternes Cask Finish","8.85","0.18","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Longrow Red 12yo Pinot Noir Finish","8.85","0.34","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:2","8.85","0.19","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"BenRiach 18yo Latada","8.84","0.16","7","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Bowmore 25yo","8.84","0.51","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Sherry Oak","8.84","0.47","8","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Companta","8.83","0.54","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Full Volume","8.83","0.23","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn 15yo","8.83","0.37","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:4","8.83","0.28","5","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Aberlour 12yo Non-Chill-Filtered","8.82","0.23","13","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour A'Bunadh (Batch 32)","8.82","0.68","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut PX Sherry Single Cask (all casks)","8.82","0.48","13","$$$$","SingleMalt-like","ABC","A","India","Malt"
"Balvenie 21yo Port Wood","8.82","0.31","19","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Compass Box This is Not a Luxury Whisky","8.82","0.45","13","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Teapot Dram (all batches)","8.82","0.44","6","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Nadurra Cask Strength (NAS)","8.82","0.10","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balblair 1990 Second Release","8.81","0.24","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig PX Triple Matured","8.81","0.55","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Garioch 15yo Renaissance Chapter 1","8.80","0.25","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 5)","8.80","0.17","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Green Spot Chateau Leoville Barton","8.80","0.38","9","$$$$","SingleMalt-like","ABC","C","Ireland","Blend"
"Kavalan Solist Port Cask","8.80","0.38","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 11yo Australian Shiraz","8.80","0.34","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Brandy Oak","8.79","0.26","6","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Royal Brackla 21yo","8.79","0.19","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 42)","8.78","0.11","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 48)","8.78","0.53","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich Snow Pheonix","8.78","0.38","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Amarone Cask Finish","8.77","0.30","13","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Bowmore 10yo Devil's Cask (all batches)","8.77","0.33","19","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura Brooklyn","8.77","0.21","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:3","8.77","0.26","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Aberlour 18yo","8.76","0.27","13","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt Sassicaia Wine Cask Finish","8.76","0.17","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 11yo Port Cask","8.76","0.37","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 1824 Ruby","8.76","0.21","13","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan Classic Cut","8.76","0.24","7","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 50)","8.75","0.34","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Benromach 15yo","8.75","0.49","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 18yo Tawny Port Finish","8.75","0.39","6","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 17yo","8.75","0.26","21","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfarclas 25yo","8.75","0.27","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast Lustau Edition","8.75","0.28","13","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Scallywag Cask Strength (all batches)","8.75","0.07","5","$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Glenmorangie Nectar d'Or","8.74","0.27","22","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Longmorn 16yo","8.74","0.33","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 1824 Rare Cask","8.74","0.43","10","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Millstone 12yo Sherry Cask","8.74","0.63","8","$$$$","SingleMalt-like","ABC","C","Netherlands","Malt"
"AnCnoc 22yo","8.73","0.31","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain 14yo 2003 Pedro Ximenez Finish","8.73","0.87","7","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 18yo Allardice","8.73","0.38","19","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne Cask Strength (batch 1)","8.73","0.47","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Highland Park 15yo Fire","8.73","0.35","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 13yo Green","8.73","0.30","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 15yo","8.73","0.22","19","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Teerenpeli Distiller???s Choice KARHI","8.73","0.12","3","$$$$","SingleMalt-like","ABC","C","Finland","Malt"
"GlenDronach 21yo Parliament","8.72","0.34","20","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 105","8.72","0.35","25","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Minister's Reserve","8.72","0.16","4","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 1824 Sienna","8.71","0.33","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sheep Dip 1999 Amoroso Blended Malt","8.71","0.53","3","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Smogen Sherry Project 1:1","8.71","0.12","3","$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Ohishi Sherry Cask","8.70","0.35","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Tomatin 18yo","8.70","0.21","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach 15yo (Gordon & MacPhail)","8.69","0.34","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 16yo Double Cask Matured","8.68","0.18","13","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glencadam 14yo Oloroso Sherry Cask Finish","8.68","0.46","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 18yo Marsala Finish","8.68","0.09","4","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 2)","8.68","0.41","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie A Midwinter Night???s Dram","8.68","0.28","5","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Taghta","8.68","0.30","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 15yo","8.68","0.22","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Karuizawa Asama Vintages 1999-2000","8.68","0.44","9","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"Knappogue Castle 16yo Twin Wood","8.68","0.43","7","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Mortlach 16yo (F&F)","8.68","0.29","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 38)","8.67","0.19","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt Madeira Wine Cask","8.67","0.43","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 12yo Matured in Sherry Wood","8.67","0.20","14","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 4)","8.67","0.06","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Oban Distillers Edition (all vintages)","8.67","0.22","16","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sullivans Cove French Oak","8.67","0.27","8","$$$$$+","SingleMalt-like","ABC","C","Tasmania","Malt"
"Hazelburn 12yo (Springbank)","8.66","0.24","18","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ledaig 18yo","8.66","0.68","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Redbreast Mano a L??mh","8.66","0.37","4","$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"BenRiach 21yo Tawny Port Finish","8.65","0.31","3","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich 21yo Gran Reserva","8.65","0.40","16","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Swiss Highland Classic Single Malt","8.65","0.39","4","$$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Tamdhu Batch Strength (both batches)","8.65","0.47","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Bengal Tiger PX Single Cask (Canada)","8.64","0.27","5","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Balvenie 17yo Doublewood","8.64","0.31","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain Moine (all bottlings)","8.64","0.60","10","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne Cask Strength (all batches)","8.64","0.46","13","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Highland Park Magnus (2017)","8.64","0.17","8","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Reflexion","8.64","0.32","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 15yo","8.63","0.47","18","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Highland Park Valkyrie","8.63","0.21","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Fine Oak","8.63","0.26","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"AnCnoc 2000","8.62","0.19","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 21yo","8.62","0.30","16","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour A'Bunadh (Batch 57)","8.61","0.50","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore 15yo Darkest","8.61","0.31","23","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Ardbeg Galileo","8.60","0.58","17","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin 14yo Portwood","8.60","0.36","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balblair 1989","8.59","0.39","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 12yo Original","8.59","0.23","22","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 12yo","8.59","0.32","21","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich 15yo Solera","8.59","0.25","26","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberfeldy 18yo","8.58","0.24","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Quinta Ruban","8.58","0.46","25","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Kilchoman Sherry Single Cask","8.58","0.61","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 12yo Sherry Oak","8.58","0.25","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Santis Alpstein (all editions)","8.58","0.11","3","$$$$$","SingleMalt-like","ABC","C","Switzerland","Malt"
"Spirit of Hven Sankt Claus","8.58","0.58","3","$$$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Tomatin Oloroso Sherry 1995","8.58","0.56","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Port Cask Finish","8.57","0.36","12","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 16yo Triple Cask","8.57","0.25","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore 12yo Enigma","8.57","0.35","12","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 12yo Cask Strength","8.57","0.41","10","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne 18yo","8.57","0.33","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tobermory 15yo","8.57","0.32","15","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tyrconnell 10yo Port Cask Finish","8.57","0.36","11","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Dalwhinnie Distillers Edition","8.56","0.28","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 14yo Burgundy Wood","8.56","0.70","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 30yo Fine Oak","8.56","0.36","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Westland Winter 2016","8.56","0.53","5","$$$$","SingleMalt-like","ABC","C","USA","Malt"
"Amrut Naarangi","8.54","0.60","10","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Arran Malt Sherry Single Cask","8.54","0.55","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Dalmore 18yo","8.54","0.39","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Dornoch","8.54","0.65","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Duthac","8.54","0.26","8","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Whisky Maker's Edition","8.54","0.35","14","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Talisker Port Ruighe","8.54","0.37","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Teerenpeli Distiller???s Choice AURA","8.54","0.08","3","$$$$$","SingleMalt-like","ABC","C","Finland","Malt"
"Glengoyne 15yo","8.53","0.52","10","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Mackmyra Midvinter","8.53","0.53","3","$$$","SingleMalt-like","ABC","C","Sweden","Malt"
"Penderyn Portwood","8.53","0.35","6","$$$","SingleMalt-like","ABC","C","Wales","Malt"
"Redbreast All Sherry Single Cask 1999","8.53","0.85","5","$$$$$","SingleMalt-like","ABC","A","Ireland","Malt"
"Glengoyne 12yo","8.52","0.35","11","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Amrut PX Sherry Single Cask 2701","8.51","0.71","3","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Glenglassaugh 26yo","8.51","0.55","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Sherry Oak","8.51","0.49","7","$$$$$","SingleMalt-like","ABC","B","Taiwan","Malt"
"Kilchoman Madeira Cask Matured","8.51","0.61","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
